process_shortreads v2.62, executed 2023-02-13 17:54:50 (zlib-1.2.11)
process_shortreads -p /home/breitba1/scratch/plate3_run2_fastq/ -o /home/breitba1/scratch/step03_clean/plate3_r2/ -c -t 110
File	Retained Reads	Low Quality	Ambiguous Barcodes	Trimmed Reads	Orphaned paired-end reads	Total
40559-3A_R2_C4_R2_val_2.fq	4825921	64	0	0	0	4825985
40559-3A_R2_C5_R2_val_2.fq	4479731	191	0	0	0	4479922
40559-3A_R2_C6_R2_val_2.fq	6849026	101	0	0	0	6849127
40559-3A_R2_C7_R2_val_2.fq	4453032	225	0	0	0	4453257
40559-3A_R2_C8_R2_val_2.fq	6276298	89	0	0	0	6276387
40559-3A_R2_C9_R2_val_2.fq	4832487	235	0	0	0	4832722
40559-3A_R2_D10_R2_val_2.fq	7749432	98	0	0	0	7749530
40559-3A_R2_D11_R2_val_2.fq	8074953	373	0	0	0	8075326
40559-3A_R2_D12_R2_val_2.fq	7930961	95	0	0	0	7931056
40559-3A_R2_D1_R2_val_2.fq	3972663	166	0	0	0	3972829
40559-3A_R2_D2_R2_val_2.fq	4039548	51	0	0	0	4039599
40559-3A_R2_D3_R2_val_2.fq	2378546	102	0	0	0	2378648
40559-3A_R2_D4_R2_val_2.fq	6266467	101	0	0	0	6266568
40559-3A_R2_D5_R2_val_2.fq	5184243	256	0	0	0	5184499
40559-3A_R2_D6_R2_val_2.fq	3543458	57	0	0	0	3543515
40559-3A_R2_D7_R2_val_2.fq	5989826	302	0	0	0	5990128
40559-3A_R2_D8_R2_val_2.fq	7748845	114	0	0	0	7748959
40559-3A_R2_D9_R2_val_2.fq	6031980	270	0	0	0	6032250
40559-3A_R2_E10_R2_val_2.fq	6506228	79	0	0	0	6506307
40559-3A_R2_E11_R2_val_2.fq	4947406	56	0	0	0	4947462
40559-3A_R2_E12_R2_val_2.fq	7640831	95	0	0	0	7640926
40559-3A_R2_E1_R2_val_2.fq	2689350	43	0	0	0	2689393
40559-3A_R2_E2_R2_val_2.fq	2798738	43	0	0	0	2798781
40559-3A_R2_E3_R2_val_2.fq	4276186	55	0	0	0	4276241
40559-3A_R2_E4_R2_val_2.fq	6799347	93	0	0	0	6799440
40559-3A_R2_E5_R2_val_2.fq	3554883	56	0	0	0	3554939
40559-3A_R2_E6_R2_val_2.fq	5882810	79	0	0	0	5882889
40559-3A_R2_E7_R2_val_2.fq	4373588	57	0	0	0	4373645
40559-3A_R2_E8_R2_val_2.fq	4922482	74	0	0	0	4922556
40559-3A_R2_E9_R2_val_2.fq	3133760	29	0	0	0	3133789
40559-3A_R2_F10_R2_val_2.fq	3515776	45	0	0	0	3515821
40559-3A_R2_F11_R2_val_2.fq	4119502	48	0	0	0	4119550
40559-3A_R2_F12_R2_val_2.fq	269637	0	0	0	0	269637
40559-3A_R2_F1_R2_val_2.fq	5551730	82	0	0	0	5551812
40559-3A_R2_F2_R2_val_2.fq	6572089	100	0	0	0	6572189
40559-3A_R2_F3_R2_val_2.fq	3639500	48	0	0	0	3639548
40559-3A_R2_F4_R2_val_2.fq	5997621	89	0	0	0	5997710
40559-3A_R2_F5_R2_val_2.fq	4376120	53	0	0	0	4376173
40559-3A_R2_F6_R2_val_2.fq	4333119	61	0	0	0	4333180
40559-3A_R2_F7_R2_val_2.fq	4488212	69	0	0	0	4488281
40559-3A_R2_F8_R2_val_2.fq	4893448	68	0	0	0	4893516
40559-3A_R2_F9_R2_val_2.fq	3687326	56	0	0	0	3687382
40559-3A_R2_G10_R2_val_2.fq	6495698	84	0	0	0	6495782
40559-3A_R2_G11_R2_val_2.fq	4546880	42	0	0	0	4546922
40559-3A_R2_G12_R2_val_2.fq	3957929	62	0	0	0	3957991
40559-3A_R2_G1_R2_val_2.fq	4682101	73	0	0	0	4682174
40559-3A_R2_G2_R2_val_2.fq	3099038	48	0	0	0	3099086
40559-3A_R2_G3_R2_val_2.fq	3231157	63	0	0	0	3231220
